underlying,underlying_last,exchange,optionroot,type,expiration,quotedate,strike,last,net,bid,ask,volume,openinterest,impliedvol,delta,gamma
SPX,2992.55,CBOE,SPX190719C00800000,call,07/19/2019,07/18/2019,800.0,0.0,0.0,2190.4,2194.3,0,4,0.0,0.9998,0.0
SPX,2992.55,CBOE,SPXW190719C00800000,call,07/19/2019,07/18/2019,800.0,0.0,0.0,2187.8,2196.1,0,5,0.0,0.9998,0.0
SPX,2992.55,CBOE,SPX190719C00850000,call,07/19/2019,07/18/2019,850.0,0.0,0.0,2140.5,2144.3,0,0,0.0,0.9998,0.0
SPX,2992.55,CBOE,SPXW190719C00850000,call,07/19/2019,07/18/2019,850.0,0.0,0.0,2137.8,2146.1,0,0,0.0,0.9997,0.0
SPX,2992.55,CBOE,SPX190719C00900000,call,07/19/2019,07/18/2019,900.0,0.0,0.0,2090.5,2094.3,0,1,0.0,0.9998,0.0
SPX,2992.55,CBOE,SPXW190719C00900000,call,07/19/2019,07/18/2019,900.0,0.0,0.0,2087.8,2096.1,0,0,0.0,0.9997,0.0
SPX,2992.55,CBOE,SPX190719C00950000,call,07/19/2019,07/18/2019,950.0,0.0,0.0,2040.5,2044.4,0,0,0.0,0.9996,0.0
SPX,2992.55,CBOE,SPXW190719C00950000,call,07/19/2019,07/18/2019,950.0,0.0,0.0,2037.8,2046.1,0,0,0.0,0.9998,0.0
SPX,2992.55,CBOE,SPX190719C01000000,call,07/19/2019,07/18/2019,1000.0,1994.31,5.46,1990.5,1994.0,400,22799,0.0,0.9998,0.0
SPX,2992.55,CBOE,SPXW190719C01000000,call,07/19/2019,07/18/2019,1000.0,0.0,0.0,1988.3,1996.6,0,12,0.0,0.9999,0.0
SPX,2992.55,CBOE,SPX190719C01050000,call,07/19/2019,07/18/2019,1050.0,0.0,0.0,1940.5,1944.4,0,0,0.0,0.9996,0.0
SPX,2992.55,CBOE,SPXW190719C01050000,call,07/19/2019,07/18/2019,1050.0,0.0,0.0,1938.3,1946.6,0,0,0.0,0.9999,0.0
SPX,2992.55,CBOE,SPX190719C01100000,call,07/19/2019,07/18/2019,1100.0,0.0,0.0,1890.5,1894.4,0,0,0.0,0.9996,0.0
SPX,2992.55,CBOE,SPXW190719C01100000,call,07/19/2019,07/18/2019,1100.0,0.0,0.0,1888.3,1896.6,0,0,0.0,0.9999,0.0
SPX,2992.55,CBOE,SPX190719C01150000,call,07/19/2019,07/18/2019,1150.0,0.0,0.0,1840.5,1844.4,0,0,0.0,0.9996,0.0
SPX,2992.55,CBOE,SPXW190719C01150000,call,07/19/2019,07/18/2019,1150.0,0.0,0.0,1838.3,1846.6,0,0,0.0,0.9999,0.0
SPX,2992.55,CBOE,SPX190719C01200000,call,07/19/2019,07/18/2019,1200.0,0.0,0.0,1790.5,1794.4,0,0,0.0,0.9996,0.0
SPX,2992.55,CBOE,SPXW190719C01200000,call,07/19/2019,07/18/2019,1200.0,0.0,0.0,1788.1,1796.4,0,0,0.0,0.9997,0.0
SPX,2992.55,CBOE,SPX190719C01250000,call,07/19/2019,07/18/2019,1250.0,0.0,0.0,1740.6,1744.2,0,1,0.0,0.9998,0.0
SPX,2992.55,CBOE,SPXW190719C01250000,call,07/19/2019,07/18/2019,1250.0,0.0,0.0,1738.0,1746.3,0,0,0.0,0.9997,0.0
SPX,2992.55,CBOE,SPX190719C01300000,call,07/19/2019,07/18/2019,1300.0,0.0,0.0,1690.5,1694.4,0,0,0.0,0.9996,0.0
SPX,2992.55,CBOE,SPXW190719C01300000,call,07/19/2019,07/18/2019,1300.0,0.0,0.0,1687.9,1696.2,0,1,0.0,0.9999,0.0
SPX,2992.55,CBOE,SPX190719C01350000,call,07/19/2019,07/18/2019,1350.0,0.0,0.0,1640.6,1644.2,0,0,0.0,0.9998,0.0
SPX,2992.55,CBOE,SPXW190719C01350000,call,07/19/2019,07/18/2019,1350.0,0.0,0.0,1637.9,1646.2,0,0,0.0,0.9997,0.0
SPX,2992.55,CBOE,SPX190719C01375000,call,07/19/2019,07/18/2019,1375.0,0.0,0.0,1615.6,1619.2,0,0,0.0,0.9998,0.0
SPX,2992.55,CBOE,SPXW190719C01375000,call,07/19/2019,07/18/2019,1375.0,0.0,0.0,1613.2,1621.4,0,0,0.0,0.9993,0.0
SPX,2992.55,CBOE,SPX190719C01400000,call,07/19/2019,07/18/2019,1400.0,0.0,0.0,1590.6,1594.2,0,0,0.0,0.9998,0.0
SPX,2992.55,CBOE,SPXW190719C01400000,call,07/19/2019,07/18/2019,1400.0,0.0,0.0,1587.9,1596.2,0,1,0.0,0.9997,0.0
SPX,2992.55,CBOE,SPX190719C01425000,call,07/19/2019,07/18/2019,1425.0,0.0,0.0,1565.6,1569.2,0,0,0.0,0.9998,0.0
SPX,2992.55,CBOE,SPXW190719C01425000,call,07/19/2019,07/18/2019,1425.0,0.0,0.0,1562.9,1571.2,0,1,0.0,0.9997,0.0
SPX,2992.55,CBOE,SPX190719C01450000,call,07/19/2019,07/18/2019,1450.0,0.0,0.0,1540.6,1544.2,0,0,0.0,0.9998,0.0
