,spy_buy_hold,spy_plus_05pct_puts,spy_plus_1pct_puts
2008-01-01,100.0,100.0,100.0
2008-01-02,100.0,100.47900000000001,100.958
2008-01-03,99.95170958776318,100.41870958776317,100.88570958776317
2008-01-04,97.50241383521954,98.06241383521956,98.62241383521955
2008-01-07,97.41962356909256,97.95562356909257,98.49162356909255
2008-01-08,95.84655745697678,96.47855745697677,97.11055745697678
2008-01-09,96.85386639588565,97.41986639588565,97.98586639588565
2008-01-10,97.48861154786115,98.01861154786114,98.54861154786114
2008-01-11,96.7020784918033,97.28907849180331,97.87607849180331
2008-01-14,97.48171626868782,98.0207162686878,98.55971626868781
2008-01-15,95.33599632430821,95.97699632430822,96.61799632430822
2008-01-16,94.5149641043021,95.1709641043021,95.8269641043021
2008-01-17,92.06566835175859,92.88066835175859,93.69566835175858
2008-01-18,91.12045142250356,91.96845142250358,92.81645142250356
2008-01-22,90.1959313698385,91.10693136983852,92.01793136983851
2008-01-23,92.36234888074955,93.14734888074956,93.93234888074956
2008-01-24,93.14198596769218,93.86698596769217,94.59198596769217
2008-01-25,91.79659101760087,92.60559101760087,93.41459101760087
2008-01-28,93.31447143830609,94.02747143830608,94.74047143830609
2008-01-29,93.77673180960954,94.46873180960955,95.16073180960954
2008-01-30,93.08678992715376,93.80278992715375,94.51878992715376
2008-01-31,94.78404074851802,95.43404074851803,96.08404074851804
2008-02-01,96.30881713833827,97.35617622402998,98.40916530972166
2008-02-04,95.09452287492573,96.19780889230546,97.28559860489392
2008-02-05,92.54863594878019,93.78709258527121,94.95978810659794
2008-02-06,91.80349733584417,93.08861366004847,94.29089136351193
2008-02-07,92.4106392929864,93.67229212120569,94.86016948054153
2008-02-08,91.81729893326089,93.07849564954502,94.26485518066114
2008-02-11,92.2864545837376,93.50838405604696,94.66952514240307
2008-02-12,93.14198596769218,94.32389877238157,95.4601121791959
2008-02-13,94.09409886606223,95.22455757488191,96.32841591982888
2008-02-14,93.26617067694099,94.44280683754029,95.57575651733437
2008-02-15,93.24547311040922,94.42198871102042,95.55481567796946
2008-02-19,93.50765447545183,94.66769724024466,95.79007864216432
2008-02-20,93.78362708878278,94.91227734955508,96.01429495273953
2008-02-21,93.00398931189838,94.17909830831603,95.3104935531395
2008-02-22,93.57664245422042,94.71308706286712,95.81987748442373
2008-02-25,94.75644790281295,95.82776468798568,96.89355000350626
2008-02-26,95.4670873518005,96.497543497192,97.53754209007813
2008-02-27,95.37049548825668,96.41838900161589,97.46981491546914
2008-02-28,94.43906980729014,95.53253791622515,96.61244154343235
2008-02-29,92.33475534510269,93.55696616155981,94.71839361606631
2008-03-03,92.11396911312369,93.80759835480227,95.4500624539074
2008-03-04,91.76210220278065,93.45554671754807,95.099545686316
2008-03-05,92.34165131421783,94.02031189787061,95.64166524479491
2008-03-06,90.43050954004785,92.1527253403541,93.84182662815122
2008-03-07,89.49909420820946,91.23440922190498,92.94569100996378
2008-03-10,88.31928875961704,90.08839594125308,91.85070620188019
2008-03-11,91.49302555856472,93.1903876091695,94.84097204178241
2008-03-12,90.63749417461024,92.35646575120356,94.04019363827429
2008-03-13,90.83757249092922,92.55020789366034,94.22447474001868
2008-03-14,89.4300958803126,91.1884922559833,92.93089846717467
2008-03-17,88.5262733941794,90.29363635210254,92.05257321200325
2008-03-18,92.20366500755229,93.88348845294283,95.50709077746092
2008-03-19,89.91995875650754,91.65337712595326,93.35999961246144
2008-03-20,91.57716121136275,93.27414343708281,94.92379553660246
2008-03-24,93.40745988611303,95.06581055684744,96.6546888305214
2008-03-25,93.49759173056107,95.15414240920991,96.74016444042731
2008-03-26,92.3536483858757,94.02946869754723,95.64697428523938
2008-03-27,92.06246578209523,93.74490931268876,95.37271984341596
2008-03-28,91.18197808565,92.87519887595384,94.52183616984246
2008-03-31,91.50089804439888,93.19386490862824,94.8385492417271
2008-04-01,94.71778784278212,96.813774531999,98.83778612284468
2008-04-02,94.78018163896638,96.88573915992556,98.91975668362005
2008-04-03,95.01589923894296,97.12200225646924,99.15632009512072
2008-04-04,94.91190911643889,97.00572740646223,99.02786868291398
2008-04-07,94.96044532786246,97.03909661922604,99.0465204120883
2008-04-08,94.86338399773878,96.94736947680046,98.96022841568215
2008-04-09,94.17701826824567,96.28422401510781,98.32451714495357
2008-04-10,94.30874574571817,96.39421226164447,98.4116291442475
2008-04-11,92.47844707096779,94.64250113824278,96.74790935696123
2008-04-14,92.1664559045992,94.34165543240563,96.46053362919905
2008-04-15,92.38138574084411,94.5292739958172,96.61961736055508
2008-04-16,94.88418216089867,96.92452458784068,98.89421884139782
2008-04-17,95.02283912404673,97.0505612471526,99.00599097286369
2008-04-18,96.01424642867158,98.00428355128474,99.91629706441175
2008-04-21,96.06278194679992,98.05405205885462,99.96714807721465
2008-04-22,95.63987117225172,97.64768309023523,99.58056080507382
2008-04-23,95.4873455316194,97.49203973265843,99.4229583800643
2008-04-24,95.90332682049197,97.8839602885025,99.78768552003311
2008-04-25,96.79074400261266,98.74080774262754,100.60874019937435
2008-04-28,96.81154216577274,98.76146285366795,100.63023062509025
2008-04-29,96.43022771754406,98.3917041071287,100.27402420438045
2008-04-30,95.86172078803926,97.83494019370794,99.73209463940226
2008-05-01,97.84454510342147,100.25511364805939,102.59787102021451
2008-05-02,98.11493023733736,100.50391423759312,102.82493394843195
2008-05-05,97.64349434408983,100.05231046585344,102.3932036257473
2008-05-06,98.48931519989033,100.85445917080582,103.15158837751102
2008-05-07,96.73527899880906,99.18994066870475,101.57622958872443
