date,1x_unhedged,1x_aud_puts,1x_jpy_calls,1x_dual_hedge,3x_unhedged,3x_aud_puts,3x_jpy_calls,3x_dual_hedge,5x_unhedged,5x_aud_puts,5x_jpy_calls,5x_dual_hedge,audjpy
2010-06-06,100.01164383561644,100.01164383561644,100.01164383561644,100.01164383561644,100.03493150684932,100.03493150684932,100.03493150684932,100.03493150684932,100.0582191780822,100.0582191780822,100.0582191780822,100.0582191780822,74.8144754924416
2010-06-07,99.36819354960987,99.36819354960987,99.36819354960987,99.36819354960987,98.10413116740503,98.10413116740503,98.10413116740503,98.10413116740503,96.8394694766341,96.8394694766341,96.8394694766341,96.8394694766341,74.3246955407014
2010-06-08,100.59403512844116,100.59403512844116,100.59403512844116,100.59403512844116,101.73487412682343,101.73487412682343,101.73487412682343,101.73487412682343,102.81270114744812,102.81270114744812,102.81270114744812,102.81270114744812,75.23061466800621
2010-06-09,101.46980785936616,101.46980785936616,101.46980785936616,101.46980785936616,104.39198878865993,104.39198878865993,104.39198878865993,104.39198878865993,107.28814345089633,107.28814345089633,107.28814345089633,107.28814345089633,75.87687248812568
2010-06-10,103.9756201910189,103.9756201910189,103.9756201910189,103.9756201910189,112.12591689055198,112.12591689055198,112.12591689055198,112.12591689055198,120.53562851916384,120.53562851916384,120.53562851916384,120.53562851916384,77.74524158125915
2010-06-11,103.808364961289,103.808364961289,103.808364961289,103.808364961289,111.58481948847584,111.58481948847584,111.58481948847584,111.58481948847584,119.56616018603087,119.56616018603087,119.56616018603087,119.56616018603087,76.63083090379008
2010-06-13,105.00917483785351,105.00917483785351,105.00917483785351,105.00917483785351,115.45711301799236,115.45711301799236,115.45711301799236,115.45711301799236,126.48160607075415,126.48160607075415,126.48160607075415,126.48160607075415,77.51235584843492
2010-06-14,105.1909569626699,105.1909569626699,105.1909569626699,105.1909569626699,116.0567188913454,116.0567188913454,116.0567188913454,116.0567188913454,127.5763720822591,127.5763720822591,127.5763720822591,127.5763720822591,77.63747826882607
2010-06-15,105.85910992791264,105.85910992791264,105.85910992791264,105.85910992791264,118.26822955070124,118.26822955070124,118.26822955070124,118.26822955070124,131.62807641896944,131.62807641896944,131.62807641896944,131.62807641896944,78.12100164503747
2010-06-16,105.50031200055243,105.50031200055243,105.50031200055243,105.50031200055243,117.06565768898095,117.06565768898095,117.06565768898095,117.06565768898095,129.39738125094377,129.39738125094377,129.39738125094377,129.39738125094377,77.84769721842225
2010-06-17,105.57118900711396,105.57118900711396,105.57118900711396,105.57118900711396,117.30159813022176,117.30159813022176,117.30159813022176,117.30159813022176,129.83203868778241,129.83203868778241,129.83203868778241,129.83203868778241,77.89072426937737
2010-06-18,106.0288040234019,106.0288040234019,106.0288040234019,106.0288040234019,118.82698512009492,118.82698512009492,118.82698512009492,118.82698512009492,132.64592621986296,132.64592621986296,132.64592621986296,132.64592621986296,78.21871885476125
2010-06-20,106.75786987724851,106.75786987724851,106.75786987724851,106.75786987724851,121.27818783329761,121.27818783329761,121.27818783329761,121.27818783329761,137.2063669580898,137.2063669580898,137.2063669580898,137.2063669580898,78.74649543275753
2010-06-21,107.1270761129843,107.1270761129843,107.1270761129843,107.1270761129843,122.53645562915024,122.53645562915024,122.53645562915024,122.53645562915024,139.57890615926652,139.57890615926652,139.57890615926652,139.57890615926652,79.01099900009089
2010-06-22,105.6132666660292,105.6132666660292,105.6132666660292,105.6132666660292,117.34177887164698,117.34177887164698,117.34177887164698,117.34177887164698,129.71697981878157,129.71697981878157,129.71697981878157,129.71697981878157,77.8931215020762
2010-06-23,105.60985669012598,105.60985669012598,105.60985669012598,105.60985669012598,117.33041289506963,117.33041289506963,117.33041289506963,117.33041289506963,129.69603871027385,129.69603871027385,129.69603871027385,129.69603871027385,77.88159195040876
2010-06-24,104.26523136093458,104.26523136093458,104.26523136093458,104.26523136093458,112.84885833167026,112.84885833167026,112.84885833167026,112.84885833167026,121.43958499415365,121.43958499415365,121.43958499415365,121.43958499415365,76.88523123714107
2010-06-25,104.7861346126143,104.7861346126143,104.7861346126143,104.7861346126143,114.54021804437701,114.54021804437701,114.54021804437701,114.54021804437701,124.47311179308768,124.47311179308768,124.47311179308768,124.47311179308768,77.25895562288362
2010-06-27,104.79777139149509,104.79777139149509,104.79777139149509,104.79777139149509,114.57837803172455,114.57837803172455,114.57837803172455,114.57837803172455,124.54222714331476,124.54222714331476,124.54222714331476,124.54222714331476,77.25853919557656
2010-06-28,104.5471147945356,104.5471147945356,104.5471147945356,104.5471147945356,113.7562281155222,113.7562281155222,113.7562281155222,113.7562281155222,123.05281899946787,123.05281899946787,123.05281899946787,123.05281899946787,77.06454780823141
2010-06-29,101.10948530257618,101.10948530257618,101.10948530257618,101.10948530257618,102.5349208963079,102.5349208963079,102.5349208963079,102.5349208963079,102.82222724700063,102.82222724700063,102.82222724700063,102.82222724700063,74.5443284374447
2010-06-30,100.08654402013165,100.08654402013165,100.08654402013165,100.08654402013165,99.42283295036091,99.42283295036091,99.42283295036091,99.42283295036091,97.62088037587928,97.62088037587928,97.62088037587928,97.62088037587928,73.78194358475551
2010-07-01,99.64814718816227,99.14771446806161,99.14771446806161,99.14771446806161,98.11636397141127,96.62502147715587,96.62502147715587,96.62502147715587,95.482896438586,93.04237442918901,93.04237442918901,93.04237442918901,73.45311130587204
2010-07-02,99.38334264260139,98.88423977019754,98.88423977019754,98.88423977019754,97.33416199656244,95.85470876314963,95.85470876314963,95.85470876314963,94.21421730536974,91.8061224579354,91.8061224579354,91.8061224579354,73.2490784623486
